"","Dia","Paradas","Volumen"
"1","1",774,424.569822883969
"2","2",679,344.322266507753
"3","3",703,409.711470061218
"4","4",659,461.079313665274
"5","5",660,395.129809096838
"6","6",502,222.992886381286
